"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","MUNICIPIO",3536109,"0,727",NA,NA,NA
"2015","MUNICIPIO",3536208,"0,736",NA,NA,NA
"2015","MUNICIPIO",3536257,"0,721",NA,NA,NA
"2015","MUNICIPIO",3536307,"0,73",NA,NA,NA
"2015","MUNICIPIO",3536406,"0,711",NA,NA,NA
"2015","MUNICIPIO",3536505,"0,795",NA,NA,NA
"2015","MUNICIPIO",3536570,"0,718",NA,NA,NA
"2015","MUNICIPIO",3536604,"0,725",NA,NA,NA
"2015","MUNICIPIO",3536703,"0,739",NA,NA,NA
"2015","MUNICIPIO",3536802,"0,677",NA,NA,NA
