"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"2015","MUNICIPIO",3528908,"4072",3916,2021,1895,776,2106,1034,376,1006,513
"2015","MUNICIPIO",3529005,"232006",216745,104726,112019,42759,119600,54386,20881,61009,30129
"2015","MUNICIPIO",3529104,"2150",2113,1063,1050,423,1136,554,206,564,280
"2015","MUNICIPIO",3529203,"25805",24219,12601,11618,4909,13379,5931,2353,6127,3138
"2015","MUNICIPIO",3529302,"81439",76786,38033,38753,15135,43754,17897,7402,22081,9270
"2015","MUNICIPIO",3529401,"453286",417064,204093,212971,95972,245569,75523,47446,125044,40481
"2015","MUNICIPIO",3529500,"5161",4640,2357,2283,871,2520,1249,426,1234,623
"2015","MUNICIPIO",3529609,"3912",3855,1892,1963,721,2060,1074,363,1048,552
"2015","MUNICIPIO",3529658,"1931",1886,957,929,396,971,519,197,486,246
"2015","MUNICIPIO",3529708,"21728",20451,10204,10247,4758,11291,4402,2414,5561,2272
"2015","MUNICIPIO",3529807,"12700",12038,5992,6046,2704,6475,2859,1351,3214,1481
"2015","MUNICIPIO",3529906,"20533",20592,10412,10180,5862,10372,4358,2903,5214,2063
"2015","MUNICIPIO",3530003,"3007",2820,1401,1419,539,1384,897,274,699,446
"2015","MUNICIPIO",3530102,"29043",27483,15055,12428,4562,15865,7056,2268,6490,3670
"2015","MUNICIPIO",3530201,"17979",17059,8663,8396,3820,8788,4451,1834,4329,2233
"2015","MUNICIPIO",3530300,"57857",53792,26402,27390,10209,30083,13500,5006,15079,7305
"2015","MUNICIPIO",3530409,"4668",4295,2193,2102,896,2238,1161,423,1112,567
"2015","MUNICIPIO",3530508,"68797",66290,33059,33231,13325,35819,17146,6487,17701,9043
"2015","MUNICIPIO",3530607,"424633",387779,188857,198922,92234,215700,79845,45430,110225,43267
"2015","MUNICIPIO",3530706,"147233",137245,68094,69151,28231,77367,31647,13905,38764,16482
"2015","MUNICIPIO",3530805,"91483",86505,42597,43908,16928,47988,21589,8343,23929,11636
"2015","MUNICIPIO",3530904,"3441",3266,1663,1603,784,1803,679,378,874,351
