"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","MUNICIPIO",350995,4397,3673
"2015","MUNICIPIO",351000,29268,29200
"2015","MUNICIPIO",351010,2290,2245
"2015","MUNICIPIO",351015,4558,4558
"2015","MUNICIPIO",351020,39884,36239
"2015","MUNICIPIO",351030,16561,11522
"2015","MUNICIPIO",351040,50228,47717
"2015","MUNICIPIO",351050,91337,73230
"2015","MUNICIPIO",351060,392294,300129
"2015","MUNICIPIO",351070,11978,9989
"2015","MUNICIPIO",351080,28084,28084
"2015","MUNICIPIO",351090,1905,1774
"2015","MUNICIPIO",351100,14997,14697
"2015","MUNICIPIO",351110,118521,118521
"2015","MUNICIPIO",351120,7513,7466
"2015","MUNICIPIO",351130,8060,7650
"2015","MUNICIPIO",351140,18750,18750
"2015","MUNICIPIO",351150,44195,42636
"2015","MUNICIPIO",351160,14170,11284
"2015","MUNICIPIO",351170,15957,12543
"2015","MUNICIPIO",355720,12144,11872
"2015","MUNICIPIO",351190,7618,7618
"2015","MUNICIPIO",351200,18245,18245
"2015","MUNICIPIO",351210,5542,5301
"2015","MUNICIPIO",351220,27132,26850
"2015","MUNICIPIO",351230,12702,11900
"2015","MUNICIPIO",351240,NA,NA
"2015","MUNICIPIO",351250,4918,4728
"2015","MUNICIPIO",351260,3871,3592
"2015","MUNICIPIO",351270,4018,4018
"2015","MUNICIPIO",351280,65000,65000
"2015","MUNICIPIO",351290,7388,7388
"2015","MUNICIPIO",351300,227972,106374
"2015","MUNICIPIO",351310,33261,33261
"2015","MUNICIPIO",351320,6018,6018
"2015","MUNICIPIO",351330,1816,1774
"2015","MUNICIPIO",351340,81082,79016
"2015","MUNICIPIO",351350,109591,65815
"2015","MUNICIPIO",351360,NA,NA
"2015","MUNICIPIO",351370,29789,29305
"2015","MUNICIPIO",351380,412428,412428
"2015","MUNICIPIO",351385,1384,1328
"2015","MUNICIPIO",351390,8095,7174
"2015","MUNICIPIO",351400,8400,8400
"2015","MUNICIPIO",351410,24761,23336
"2015","MUNICIPIO",351420,2142,2142
"2015","MUNICIPIO",351430,8457,8268
"2015","MUNICIPIO",351440,45847,42337
"2015","MUNICIPIO",351450,11658,11385
"2015","MUNICIPIO",351460,8700,8700
"2015","MUNICIPIO",351470,5816,5696
"2015","MUNICIPIO",351480,7339,6236
"2015","MUNICIPIO",351490,13292,12956
"2015","MUNICIPIO",351492,3161,3161
"2015","MUNICIPIO",351495,2109,1980
"2015","MUNICIPIO",351500,259845,172682
"2015","MUNICIPIO",351510,52929,24797
"2015","MUNICIPIO",351512,2820,2806
"2015","MUNICIPIO",351515,13600,13385
"2015","MUNICIPIO",351518,38559,38183
"2015","MUNICIPIO",351519,3943,3866
"2015","MUNICIPIO",355730,8672,8672
"2015","MUNICIPIO",351520,7727,7489
"2015","MUNICIPIO",351530,2505,2467
"2015","MUNICIPIO",351535,6532,5780
"2015","MUNICIPIO",351540,13889,13569
"2015","MUNICIPIO",351550,68120,68120
"2015","MUNICIPIO",351560,5709,5460
"2015","MUNICIPIO",351565,918,916
"2015","MUNICIPIO",351570,178203,148522
"2015","MUNICIPIO",351580,1287,1250
"2015","MUNICIPIO",351590,2642,2625
"2015","MUNICIPIO",351600,10387,10183
"2015","MUNICIPIO",351610,2248,2189
"2015","MUNICIPIO",351620,341981,341981
"2015","MUNICIPIO",351630,154105,67648
"2015","MUNICIPIO",351640,139028,86652
"2015","MUNICIPIO",351650,2587,2571
"2015","MUNICIPIO",351660,5257,5141
"2015","MUNICIPIO",351670,40480,40480
"2015","MUNICIPIO",351680,3715,3671
"2015","MUNICIPIO",351685,4635,4635
"2015","MUNICIPIO",351690,10850,10081
"2015","MUNICIPIO",351700,NA,NA
"2015","MUNICIPIO",351710,3182,3082
"2015","MUNICIPIO",351720,10458,10458
"2015","MUNICIPIO",351730,5425,5425
"2015","MUNICIPIO",351740,39813,39813
"2015","MUNICIPIO",351750,17723,16274
"2015","MUNICIPIO",351760,9727,5556
"2015","MUNICIPIO",351770,20242,20242
"2015","MUNICIPIO",351780,6821,6684
"2015","MUNICIPIO",351790,9976,9976
"2015","MUNICIPIO",351800,1824,1738
"2015","MUNICIPIO",351810,5633,5663
"2015","MUNICIPIO",351820,29937,29937
"2015","MUNICIPIO",351830,18961,10289
"2015","MUNICIPIO",351840,119073,109547
"2015","MUNICIPIO",351850,10707,7315
"2015","MUNICIPIO",351860,37486,38499
"2015","MUNICIPIO",351870,255447,195438
"2015","MUNICIPIO",351880,1322637,1159600
"2015","MUNICIPIO",351885,6966,6966
"2015","MUNICIPIO",351890,4419,4341
"2015","MUNICIPIO",351900,7940,7130
"2015","MUNICIPIO",351905,9688,9688
"2015","MUNICIPIO",351907,215819,199500
"2015","MUNICIPIO",351910,9674,9065
"2015","MUNICIPIO",351920,5462,5393
"2015","MUNICIPIO",351925,2885,2520
"2015","MUNICIPIO",351930,NA,NA
"2015","MUNICIPIO",351940,10588,10351
"2015","MUNICIPIO",351950,6750,6750
"2015","MUNICIPIO",351960,55370,55370
"2015","MUNICIPIO",351970,33403,12690
"2015","MUNICIPIO",351980,7277,7159
"2015","MUNICIPIO",351990,NA,NA
"2015","MUNICIPIO",352000,24160,24160
"2015","MUNICIPIO",352010,27305,26757
"2015","MUNICIPIO",352020,4959,2328
"2015","MUNICIPIO",352030,19838,13892
"2015","MUNICIPIO",352040,21898,8959
"2015","MUNICIPIO",352042,9183,4178
"2015","MUNICIPIO",352044,26344,24721
"2015","MUNICIPIO",352050,225516,219360
"2015","MUNICIPIO",352060,NA,NA
"2015","MUNICIPIO",352070,3349,3013
"2015","MUNICIPIO",352080,3231,3211
"2015","MUNICIPIO",352090,13432,13432
"2015","MUNICIPIO",352100,27996,24683
"2015","MUNICIPIO",352110,5951,5475
"2015","MUNICIPIO",352115,NA,NA
"2015","MUNICIPIO",352120,2183,1904
"2015","MUNICIPIO",352130,15567,15567
"2015","MUNICIPIO",352140,NA,NA
"2015","MUNICIPIO",352150,6617,6611
"2015","MUNICIPIO",352160,5788,5780
"2015","MUNICIPIO",352170,12464,11043
"2015","MUNICIPIO",352180,17213,16927
